subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
2011,162,3,3,311,0.311,1,1,Gain  ,Gain  ,1
2011,163,2,1,445,0.445,0,0,NoLoss,Cntrl ,1
2011,164,3,3,247,0.247,1,1,Gain  ,Gain  ,1
2011,165,2,2,279,0.279,1,1,Cntrl ,Cntrl ,1
2011,166,3,3,352,0.352,1,1,Gain  ,Gain  ,1
2011,167,2,2,356,0.356,1,1,Cntrl ,Cntrl ,1
2011,168,1,1,365,0.365,1,1,NoLoss,NoLoss,1
2011,169,2,2,330,0.33,1,1,Cntrl ,Cntrl ,1
2011,170,2,1,415,0.415,0,0,NoLoss,Cntrl ,1
2011,171,1,3,397,0.397,0,0,Gain  ,NoLoss,1
2011,172,1,2,324,0.324,0,0,Cntrl ,NoLoss,1
2011,173,1,1,403,0.403,1,0,NoLoss,NoLoss,1
2011,174,3,3,240,0.24,1,1,Gain  ,Gain  ,1
2011,175,2,2,378,0.378,1,1,Cntrl ,Cntrl ,1
2011,176,1,1,388,0.388,1,1,NoLoss,NoLoss,1
2011,177,3,3,474,0.474,1,0,Gain  ,Gain  ,1
2011,178,2,2,348,0.348,1,1,Cntrl ,Cntrl ,1
2011,179,1,1,306,0.306,1,1,NoLoss,NoLoss,1
2011,180,3,3,336,0.336,1,1,Gain  ,Gain  ,1
3011,1,1,1,323,0.323,1,1,Gain  ,Gain  ,1
3011,2,3,3,341,0.341,1,1,NoLoss,NoLoss,1
3011,3,2,2,421,0.421,1,0,Cntrl ,Cntrl ,1
3011,4,1,1,300,0.3,1,1,Gain  ,Gain  ,1
3011,5,2,2,361,0.361,1,1,Cntrl ,Cntrl ,1
3011,6,3,3,392,0.392,1,1,NoLoss,NoLoss,1
3011,7,2,2,393,0.393,1,1,Cntrl ,Cntrl ,1
3011,8,1,1,340,0.34,1,1,Gain  ,Gain  ,1
3011,9,3,3,338,0.338,1,1,NoLoss,NoLoss,1
3011,10,2,2,296,0.296,1,1,Cntrl ,Cntrl ,1
3011,11,1,1,382,0.382,1,1,Gain  ,Gain  ,1
3011,12,3,3,271,0.271,1,1,NoLoss,NoLoss,1
3011,13,1,1,399,0.399,1,1,Gain  ,Gain  ,1
3011,14,3,3,339,0.339,1,1,NoLoss,NoLoss,1
3011,15,2,2,354,0.354,1,1,Cntrl ,Cntrl ,1
3011,16,1,1,463,0.463,1,0,Gain  ,Gain  ,1
3011,17,3,3,369,0.369,1,1,NoLoss,NoLoss,1
3011,18,2,2,309,0.309,1,1,Cntrl ,Cntrl ,1
3011,19,3,3,378,0.378,1,1,NoLoss,NoLoss,1
3011,20,2,2,484,0.484,1,0,Cntrl ,Cntrl ,1
3011,21,1,1,375,0.375,1,1,Gain  ,Gain  ,1
3011,22,2,2,343,0.343,1,1,Cntrl ,Cntrl ,1
3011,23,3,3,276,0.276,1,1,NoLoss,NoLoss,1
3011,24,1,1,387,0.387,1,1,Gain  ,Gain  ,1
3011,25,2,2,360,0.36,1,1,Cntrl ,Cntrl ,1
3011,26,3,3,267,0.267,1,1,NoLoss,NoLoss,1
3011,27,1,1,372,0.372,1,1,Gain  ,Gain  ,1
3011,28,3,3,314,0.314,1,1,NoLoss,NoLoss,1
3011,29,2,2,336,0.336,1,1,Cntrl ,Cntrl ,1
3011,30,1,1,394,0.394,1,1,Gain  ,Gain  ,1
3011,31,3,3,365,0.365,1,1,NoLoss,NoLoss,1
3011,32,1,1,268,0.268,1,1,Gain  ,Gain  ,1
3011,33,2,2,348,0.348,1,1,Cntrl ,Cntrl ,1
3011,34,1,1,350,0.35,1,1,Gain  ,Gain  ,1
3011,35,3,3,362,0.362,1,1,NoLoss,NoLoss,1
3011,36,2,2,378,0.378,1,1,Cntrl ,Cntrl ,1
3011,37,3,3,482,0.482,1,0,NoLoss,NoLoss,1
