subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
4012,50,335,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.335
4012,52,285,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.285
4012,54,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,56,0,0.5,0.5,0,0,0,NoLoss,NA   ,0.5,0
4012,58,387,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.387
4012,60,359,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.359
4012,62,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,64,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,66,274,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.274
4012,68,0,0.5,0.5,0,0,0,NoLoss,NA   ,0.5,0
4012,70,397,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.397
4012,72,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,74,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,76,451,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.451
4012,78,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,80,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,82,462,0.5,0.5,0,0,0,Gain  ,NoLoss,0.5,0.462
4012,84,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,86,347,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.347
4012,88,450,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.45
4012,90,492,0.5,0.5,0,1,0,Cntrl ,Cntrl ,0.5,0.492
4012,92,356,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.356
4012,94,412,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.412
4012,96,202,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.202
4012,98,192,0.5,0.5,0,0,0,NoLoss,Gain  ,0.5,0.192
4012,100,0,0.5,0.5,0,0,0,NoLoss,NA   ,0.5,0
4012,102,221,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.221
4012,104,309,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.309
